,name,address,near_station,built_year,built_floors,floor,rent_fee,manegement_fee,deposit,gratuity,layout,exclusive_area
55,キャッスルつきみ野　B棟,神奈川県大和市下鶴間,東急田園都市線/つきみ野駅 歩8分,築35年,2階建,2階,3万円,3500円,-,-,1K,15.3m2
56,羽鳥シェモア,神奈川県藤沢市羽鳥３,ＪＲ東海道本線/辻堂駅 歩12分,築35年,2階建,2階,3.3万円,1000円,6.6万円,3.3万円,1K,22.35m2
57,ピースハウス　II,神奈川県茅ヶ崎市堤,ＪＲ東海道本線/茅ヶ崎駅 バス22分 (バス停)南大平 歩2分,築28年,2階建,1階,3.4万円,-,3.4万円,-,1K,17.74m2
58,ＪＲ横浜線 橋本駅 2階建 築34年,神奈川県相模原市緑区東橋本２,ＪＲ横浜線/橋本駅 歩13分,築34年,2階建,2階,3.3万円,2000円,3.3万円,-,ワンルーム,17.39m2
59,ＪＲ横浜線 橋本駅 2階建 築34年,神奈川県相模原市緑区東橋本２,ＪＲ横浜線/橋本駅 歩13分,築34年,2階建,2階,3.3万円,2000円,3.3万円,-,1K,17.39m2
60,ＪＲ横浜線 橋本駅 2階建 築34年,神奈川県相模原市緑区東橋本２,ＪＲ横浜線/橋本駅 歩13分,築34年,2階建,2階,3.3万円,2000円,3.3万円,-,ワンルーム,17.39m2
61,ＪＲ横浜線 橋本駅 2階建 築34年,神奈川県相模原市緑区東橋本２,ＪＲ横浜線/橋本駅 歩13分,築34年,2階建,2階,3.2万円,2000円,3.2万円,-,ワンルーム,17.39m2
62,メゾンパル,神奈川県茅ヶ崎市堤,ＪＲ東海道本線/辻堂駅 バス12分 (バス停)南大平 歩4分,築30年,2階建,2階,3.5万円,-,3.5万円,3.5万円,ワンルーム,20.3m2
63,メゾンパル,神奈川県茅ヶ崎市堤,ＪＲ東海道本線/辻堂駅 バス12分 (バス停)南大平 歩4分,築30年,2階建,1-2階,6.5万円,-,13万円,6.5万円,2DK,49.67m2
64,ＪＲ東海道本線 茅ヶ崎駅 2階建 築28年,神奈川県茅ヶ崎市堤,ＪＲ東海道本線/茅ヶ崎駅 バス22分 (バス停)南大平 歩2分,築28年,2階建,2階,3.4万円,1000円,-,-,1K,17.74m2
65,ＪＲ横浜線 淵野辺駅 2階建 築29年,神奈川県相模原市中央区弥栄１,ＪＲ横浜線/淵野辺駅 歩16分,築29年,2階建,2階,3.2万円,3000円,-,-,1K,17.48m2
